iter	Passed	Remaining
0	5	5796
1	9	4831
2	13	4564
3	17	4397
4	21	4277
5	25	4207
6	29	4156
7	32	4083
8	36	4044
9	40	4047
10	44	4027
11	48	4011
12	52	4020
13	56	4003
14	60	3973
15	64	3942
16	68	3941
17	72	3939
18	76	3924
19	79	3917
20	83	3904
21	87	3897
22	91	3887
23	95	3875
24	99	3870
25	103	3861
26	106	3848
27	110	3847
28	114	3839
29	118	3828
30	122	3818
31	126	3819
32	130	3817
33	134	3819
34	138	3818
35	142	3807
36	146	3820
37	150	3814
38	154	3817
39	159	3823
40	163	3817
41	167	3822
42	171	3812
43	174	3791
44	178	3780
45	181	3765
46	184	3749
47	188	3730
48	191	3713
49	194	3701
50	198	3690
51	201	3680
52	205	3664
53	208	3658
54	212	3645
55	215	3629
56	218	3622
57	222	3610
58	225	3603
59	229	3590
60	232	3578
61	236	3574
62	239	3568
63	243	3556
64	246	3544
65	249	3532
66	253	3523
67	256	3512
68	260	3510
69	263	3501
70	267	3500
71	270	3492
72	274	3490
73	278	3486
74	283	3490
75	287	3494
76	290	3477
77	294	3475
78	297	3463
79	301	3464
80	304	3458
81	308	3453
82	311	3442
83	314	3432
84	318	3423
85	322	3422
86	325	3414
87	328	3405
88	332	3398
89	336	3403
90	340	3398
91	343	3391
92	346	3383
93	350	3378
94	353	3369
95	357	3364
96	360	3356
97	364	3352
98	368	3357
99	372	3351
100	375	3345
101	379	3337
102	382	3330
103	386	3325
104	389	3321
105	392	3314
106	396	3308
107	399	3301
108	403	3296
109	408	3301
110	411	3299
111	415	3295
112	419	3289
113	422	3282
114	425	3276
115	428	3267
116	432	3264
117	436	3259
118	439	3250
119	442	3244
120	446	3240
121	449	3232
122	452	3224
123	455	3216
124	458	3210
125	461	3203
126	464	3196
127	467	3188
128	471	3183
129	474	3176
130	477	3167
131	480	3159
132	483	3150
133	486	3144
134	489	3138
135	492	3129
136	496	3124
137	499	3121
138	503	3115
139	506	3108
140	509	3101
141	512	3095
142	515	3088
143	518	3082
144	521	3075
145	524	3069
146	528	3064
147	531	3057
148	534	3050
149	537	3043
150	540	3037
151	543	3031
152	546	3026
153	549	3020
154	552	3014
155	556	3008
156	559	3002
157	562	2996
158	565	2989
159	568	2983
160	571	2976
161	574	2970
162	577	2964
163	580	2959
164	583	2955
165	587	2949
166	590	2945
167	593	2940
168	597	2935
169	600	2929
170	603	2924
171	606	2918
172	609	2914
173	613	2910
174	616	2905
175	619	2899
176	623	2901
177	627	2897
178	630	2892
179	634	2891
180	638	2887
181	641	2883
182	645	2881
183	649	2878
184	653	2876
185	656	2873
186	660	2869
187	663	2866
188	667	2863
189	671	2861
190	674	2858
191	678	2853
192	681	2849
193	684	2845
194	688	2842
195	691	2835
196	694	2830
197	698	2829
198	702	2828
199	706	2824
200	709	2819
201	712	2815
202	715	2810
203	718	2804
204	722	2801
205	725	2796
206	728	2791
207	731	2786
208	735	2782
209	738	2778
210	741	2772
211	744	2769
212	748	2764
213	751	2761
214	756	2760
215	759	2755
216	763	2754
217	767	2752
218	770	2747
219	773	2743
220	777	2739
221	780	2734
222	783	2729
223	788	2730
224	791	2726
225	795	2723
226	799	2721
227	804	2722
228	808	2720
229	811	2717
230	815	2713
231	818	2709
232	821	2705
233	825	2701
234	828	2696
235	831	2691
236	835	2688
237	838	2685
238	842	2682
239	846	2680
240	849	2676
241	853	2672
242	856	2667
243	859	2664
244	863	2661
245	867	2659
246	871	2655
247	874	2652
248	878	2649
249	881	2645
250	885	2641
251	888	2636
252	891	2632
253	895	2629
254	898	2624
255	902	2621
256	905	2617
257	908	2613
258	912	2609
259	916	2608
260	920	2607
261	924	2604
262	928	2602
263	933	2602
264	937	2600
265	941	2597
266	944	2593
267	948	2591
268	952	2587
269	955	2583
270	958	2578
271	962	2574
272	965	2570
273	969	2569
274	973	2565
275	977	2563
276	980	2558
277	983	2554
278	987	2551
279	990	2547
280	994	2543
281	997	2540
282	1001	2538
283	1005	2536
284	1009	2533
285	1012	2528
286	1016	2524
287	1019	2520
288	1022	2515
289	1026	2512
290	1029	2509
291	1033	2505
292	1037	2502
293	1041	2499
294	1045	2499
295	1048	2494
296	1052	2490
297	1055	2486
298	1058	2482
299	1062	2479
300	1066	2475
301	1069	2472
302	1073	2469
303	1077	2466
304	1080	2462
305	1083	2458
306	1087	2454
307	1090	2450
308	1093	2446
309	1097	2443
310	1101	2439
311	1104	2435
312	1108	2433
313	1112	2430
314	1116	2427
315	1119	2423
316	1122	2419
317	1127	2417
318	1130	2413
319	1133	2409
320	1137	2405
321	1140	2402
322	1144	2398
323	1148	2395
324	1151	2392
325	1155	2388
326	1158	2384
327	1161	2380
328	1165	2376
329	1168	2372
330	1171	2368
331	1175	2365
332	1178	2361
333	1181	2356
334	1185	2353
335	1188	2348
336	1192	2345
337	1195	2342
338	1199	2338
339	1202	2334
340	1205	2330
341	1208	2325
342	1212	2322
343	1216	2319
344	1219	2315
345	1223	2311
346	1226	2307
347	1229	2303
348	1232	2299
349	1235	2294
350	1239	2291
351	1242	2286
352	1245	2282
353	1248	2278
354	1251	2274
355	1254	2269
356	1258	2266
357	1261	2262
358	1264	2258
359	1268	2254
360	1271	2250
361	1274	2246
362	1277	2242
363	1282	2240
364	1285	2236
365	1288	2232
366	1292	2229
367	1295	2225
368	1299	2221
369	1302	2217
370	1305	2212
371	1308	2209
372	1312	2205
373	1315	2202
374	1319	2198
375	1322	2194
376	1326	2192
377	1330	2188
378	1333	2184
379	1336	2180
380	1339	2176
381	1343	2172
382	1346	2169
383	1350	2166
384	1354	2162
385	1357	2160
386	1362	2157
387	1365	2154
388	1369	2150
389	1372	2146
390	1376	2143
391	1379	2140
392	1383	2136
393	1386	2132
394	1389	2128
395	1392	2124
396	1396	2120
397	1399	2117
398	1403	2113
399	1406	2109
400	1409	2105
401	1414	2103
402	1417	2100
403	1420	2096
404	1424	2092
405	1427	2087
406	1430	2084
407	1434	2081
408	1437	2077
409	1441	2074
410	1445	2071
411	1449	2068
412	1452	2064
413	1457	2062
414	1460	2059
415	1464	2055
416	1467	2051
417	1470	2047
418	1473	2043
419	1476	2039
420	1480	2036
421	1484	2032
422	1488	2029
423	1491	2026
424	1495	2023
425	1499	2020
426	1503	2017
427	1506	2013
428	1509	2009
429	1513	2005
430	1516	2002
431	1519	1998
432	1523	1995
433	1526	1991
434	1530	1987
435	1533	1983
436	1537	1980
437	1541	1977
438	1544	1973
439	1548	1970
440	1551	1967
441	1555	1963
442	1559	1960
443	1563	1957
444	1566	1953
445	1570	1950
446	1573	1946
447	1576	1943
448	1580	1939
449	1583	1935
450	1587	1931
451	1590	1928
452	1593	1924
453	1596	1920
454	1600	1917
455	1605	1915
456	1608	1911
457	1612	1907
458	1615	1904
459	1619	1900
460	1622	1896
461	1624	1892
462	1627	1887
463	1630	1883
464	1634	1880
465	1636	1875
466	1640	1871
467	1643	1867
468	1647	1865
469	1650	1861
470	1654	1858
471	1657	1854
472	1660	1850
473	1664	1847
474	1667	1843
475	1671	1840
476	1674	1836
477	1678	1832
478	1681	1828
479	1685	1825
480	1688	1821
481	1691	1818
482	1695	1815
483	1699	1811
484	1702	1807
485	1705	1803
486	1709	1800
487	1712	1797
488	1715	1793
489	1719	1789
490	1722	1786
491	1725	1782
492	1729	1779
493	1732	1775
494	1736	1771
495	1739	1767
496	1742	1763
497	1746	1760
498	1750	1757
499	1753	1753
500	1756	1749
501	1760	1746
502	1763	1742
503	1766	1738
504	1771	1736
505	1774	1732
506	1777	1728
507	1780	1724
508	1783	1720
509	1786	1716
510	1790	1713
511	1794	1710
512	1798	1707
513	1802	1703
514	1810	1704
515	1821	1708
516	1828	1707
517	1838	1710
518	1841	1706
519	1844	1703
520	1848	1699
521	1851	1695
522	1855	1692
523	1858	1687
524	1861	1684
525	1864	1680
526	1867	1676
527	1870	1672
528	1873	1668
529	1877	1664
530	1880	1660
531	1883	1656
532	1886	1652
533	1889	1648
534	1892	1645
535	1895	1641
536	1899	1637
537	1902	1633
538	1905	1629
539	1909	1626
540	1912	1622
541	1916	1619
542	1919	1615
543	1922	1611
544	1926	1608
545	1930	1604
546	1933	1601
547	1936	1597
548	1940	1594
549	1944	1590
550	1947	1587
551	1951	1583
552	1954	1580
553	1958	1576
554	1961	1572
555	1964	1568
556	1967	1565
557	1971	1561
558	1973	1557
559	1976	1553
560	1980	1549
561	1983	1545
562	1986	1541
563	1989	1537
564	1993	1534
565	1996	1531
566	2000	1527
567	2004	1524
568	2008	1521
569	2011	1517
570	2015	1514
571	2019	1510
572	2022	1507
573	2026	1503
574	2030	1500
575	2033	1496
576	2036	1493
577	2040	1489
578	2043	1485
579	2047	1482
580	2050	1478
581	2054	1475
582	2057	1471
583	2061	1468
584	2064	1464
585	2067	1460
586	2072	1457
587	2075	1454
588	2078	1450
589	2082	1447
590	2086	1443
591	2090	1440
592	2094	1437
593	2097	1433
594	2100	1429
595	2104	1426
596	2107	1422
597	2110	1418
598	2114	1415
599	2118	1412
600	2122	1409
601	2125	1405
602	2129	1402
603	2133	1398
604	2136	1394
605	2139	1391
606	2143	1387
607	2146	1384
608	2150	1380
609	2153	1376
610	2156	1373
611	2159	1369
612	2163	1366
613	2167	1362
614	2171	1359
615	2174	1355
616	2177	1351
617	2181	1348
618	2185	1345
619	2189	1341
620	2192	1338
621	2196	1334
622	2199	1331
623	2203	1327
624	2207	1324
625	2211	1320
626	2214	1317
